site_no,min_date,max_date,lam1Obs,tau2Obs,tau3Obs,tau4Obs,ar1Obs,amplitudeObs,phaseObs,med_flowObs,cv_flowObs,cv_dailyObs,flow_10Obs,flow_25Obs,flow_50Obs,flow_75Obs,flow_90Obs,flow_15Obs,ma1_mean_disc,ma2_median_disc,ma3_mean_annual_var,ma4,ma5_skew,ma6,ma7,ma8,ma9,ma10,ma11,ma12_jan_mean,ma13_feb_mean,ma14_mar_mean,ma15_apr_mean,ma16_may_mean,ma17_june_mean,ma18_july_mean,ma19_aug_mean,ma20_sep_mean,ma21_oct_mean,ma22_nov_mean,ma23_dec_mean,ma24_jan_var,ma25_feb_var,ma26_mar_var,ma27_apr_var,ma28_may_var,ma29_jun_var,ma30_july_var,ma31_aug_var,ma32_sep_var,ma33_oct_var,ma34_nov_var,ma35_dec_var,ma36,ma37_var_across_months,ma38,ma39_monthly_std_dev,ma40_monthly_skewness,ma41,ma42,ma43,ma44,ma45,ml1,ml2,ml3,ml4,ml5,ml6,ml7,ml8,ml9,ml10,ml11,ml12,ml13_min_monthly_var,ml14_min_annual_flow,ml15,ml16,ml17,ml18,ml19,ml20,ml21,ml22,mh1,mh2,mh3,mh4,mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14_med_annual_max,mh15,mh16_high_flow_index,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26_high_peak_flow,mh27,fl1_low_flood_pulse,fl2_low_pulse_var,fl3,fh1_high_pulse_count,fh2_high_pulse_var,fh3_high_pulse_count_three,fh4_high_pulse_count_seven,fh5,fh6,fh7,fh8,fh9,fh10,fh11,dl1_min_daily_flow,dl2_min_3_day_avg,dl3,dl4_min_30_day_avg,dl5_min_90_day_avg,dl6_min_flow_var,dl7,dl8,dl9_min_30_day_var,dl10_min_90_day_var,dl11,dl12,dl13,dl14,dl15,dl16,dl17,dl18_zero_flow_days,dl19,dl20,dh1,dh2,dh3,dh4,dh5_max_90_day_avg,dh6,dh7,dh8,dh9,dh10_max_90_day_var,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,ta1,ta2,ta3,tl1_min_flow_julian_day,tl2_min_julian_var,tl3,tl4,th1_max_flow_julian_day,th2_max_julian_var,th3,ra1_rise_rate,ra2_rise_rate_var,ra3_fall_rate,ra4_fall_rate_var,ra5,ra6,ra7,ra8,ra9,comment
CF051,10/1/88,9/30/14,0.39,0.79,0.73,0.56,0.09,0.09,-1.03,0.37,0.28,3.13,0.006677,0.026665,0.088625,0.2169,0.8485,0.011625,0.39,0.09,292.29,176,4.33,127.2,17.68,8.14,9.36,3.17,2.11,0.31,0.32,0.41,0.3,0.28,0.35,0.43,0.55,0.74,0.38,0.31,0.28,198,192,207,199,230,208,199,212,219,231,252,201,9.52,1.03,2.14,90.18,0.28,0.02,1.15,0.54,0.77,0.04,0.05,0.07,0.06,0.04,0.02,0.01,0.02,0.03,0.04,0.05,0.04,0.04,114.99,0.05,0.01,0.04,0.02,88.32,0.99,0.13,84.16,0,2.85,2.89,4.31,3.16,3.46,2.71,3.83,5.74,7.64,4.94,3.87,2.66,103.35,172.7,60.95,9.43,2.41,19.59,0.48,0.63,41.6,30.2,31.66,20.58,23.47,30.38,22.24,19.12,58.5,78.73,37.77,12.27,78.27,45.92,32.15,36.42,27.31,37.77,19.62,4.85,0.54,0,0,0.01,0.06,0.15,Inf,Inf,84.86,65.58,39.44,0,0.11,0.68,0.3,0.08,4.58,24.05,0,0,0,13.21,6.84,3.61,1.3,0.7,53.48,60.9,70.48,43.27,33.99,149.06,40.73,14.67,2.78,2.26,23.76,6.95,2.16,1.69,2.41,23.91,76.65,2,258.6,0.74,74.8,0.64,214.62,56.17,0.19,0.01,223.41,66.1,0.41,0.76,235.98,0.31,332.06,0.29,0.88,0.4,132,9.87,
CF052,10/1/88,9/30/14,0.33,0.31,0.36,0.35,0.1,0.3,-1.5,0.33,0.18,1.24,0.1479,0.2105,0.28645,0.3819,0.5062,0.1696,0.33,0.29,98.23,41.63,1.14,3.43,2.13,1.81,1.24,0.75,0.59,0.27,0.27,0.28,0.25,0.24,0.26,0.32,0.43,0.59,0.47,0.35,0.29,33,30,38,31,38,35,35,52,68,39,31,30,4.78,0.64,1.14,51.87,0.1,0.03,0.76,0.28,0.47,0.01,0.21,0.21,0.22,0.2,0.18,0.19,0.24,0.31,0.37,0.35,0.28,0.23,45.44,0.36,0.3,0.34,0.34,32.32,30.21,0.85,40.42,0.01,0.7,0.67,0.81,0.6,0.76,0.67,0.85,1.6,3.26,1.5,0.87,0.71,171.56,11.31,4.45,1.75,1.32,57.4,0.9,0.45,11.52,5.65,9.45,3.29,7.63,15.09,3.77,7.04,49.95,0.12,11.85,29.7,6.5,1.69,10.65,4.81,1.5,11.85,7.92,2.15,0.58,0.1,0.11,0.11,0.14,0.18,41.1,39.54,40.39,35.71,28.38,0.35,0.38,0.49,0.73,0.52,12.83,63.87,0,0,0,4.71,2.42,1.34,0.7,0.5,99.73,99.89,98.55,38.02,22.8,16.44,4.68,2.44,1.87,7.33,50.57,24.52,1.36,1.09,8.02,46.86,70.33,2.1,242.8,0.71,71.1,0.53,81.18,63.91,0.19,0.01,250.66,52.68,0.33,0.11,564.85,0.05,744.91,0.32,0.02,0.01,121.65,9.65,
CF053,10/1/88,9/30/14,0.28,0.37,0.41,0.4,0.09,0.15,1.55,0.29,0.22,1.34,0.1009,0.163375,0.2252,0.315625,0.4265,0.1258,0.28,0.23,119.28,47.62,1.22,4.23,2.37,1.93,1.42,0.87,0.66,0.26,0.26,0.28,0.25,0.21,0.22,0.27,0.32,0.44,0.35,0.28,0.25,46,39,66,53,50,57,69,68,77,60,51,48,5.59,0.69,1.4,57.01,0.16,0.02,0.9,0.32,0.57,-0.01,0.18,0.2,0.19,0.18,0.14,0.12,0.17,0.21,0.23,0.24,0.2,0.18,54.74,0.26,0.21,0.25,0.25,49.22,21.48,0.77,60.05,0,0.81,0.73,1.22,0.88,0.7,0.79,1.14,1.39,2.51,1.63,1.06,0.8,136.48,16.08,6.76,1.85,1.37,45.27,0.23,0.36,8.76,6.02,8.06,3.32,7.87,14.43,4.03,10.15,53.27,0.42,17.04,28.15,11.31,3.38,17.23,7.65,2.85,17.04,11.08,3.5,0.5,0.06,0.07,0.07,0.1,0.15,61.51,55.54,57.28,42.75,34.17,0.27,0.31,0.44,0.73,0.45,8.58,56.94,0,0,0,4.66,2.33,1.28,0.64,0.44,66.24,63.08,60.45,39.86,29.09,20.69,5.68,2.84,1.9,4.87,67.45,13.01,1.48,1.19,5.88,36.94,82.63,2,254.3,0.71,71.12,0.62,124.37,72.47,0.19,0.01,231.04,64.46,0.41,0.13,420.34,0.07,511.08,0.34,0.05,0.02,125.04,8.5,
CF054,10/1/88,9/30/14,0.55,0.65,0.62,0.44,0.07,0.12,-0.23,0.49,0.49,2.42,0.058915,0.1111,0.21285,0.5649,1.14,0.07476,0.55,0.21,217.44,110.39,2.62,19.38,7.62,5.09,5.15,2.92,2.16,0.72,0.77,0.82,0.53,0.32,0.37,0.35,0.41,0.7,0.62,0.49,0.52,121,115,117,111,124,135,139,168,195,181,136,140,7.4,1.57,3.34,93.81,0.58,0.01,2.24,0.77,1.56,0.13,0.28,0.34,0.3,0.2,0.11,0.1,0.11,0.13,0.13,0.15,0.17,0.18,115.46,0.13,0.06,0.1,0.09,59.89,6.42,0.42,79.02,0,4.3,4.24,5.06,3.38,2.07,2.89,2.4,3.15,8.2,5.99,3.68,3.73,125.73,56.87,27.92,5.43,2.69,21.55,-0.22,0.25,24.76,20.13,18.11,8.49,13.79,22.36,12.93,17.35,56.32,10.88,23.15,17.9,81.96,23.62,27.77,21.92,14.08,23.15,17.69,3.73,0.5,0.03,0.04,0.05,0.11,0.19,88.53,69.6,59.62,79.77,60.31,0.14,0.23,0.52,0.52,0.28,4.7,36.37,0,0,0,15.46,6.55,3.32,1.58,1,56.18,54.3,45.55,44.52,53.84,72.63,15.6,7.42,3.22,2.68,81.45,13.94,3.94,1.52,4.2,35.16,74.06,2,209.3,0.73,74.33,0.46,225.93,53.76,0.18,0.01,339.13,74.77,0.23,0.48,366.78,0.35,411.34,0.42,0.15,0.15,175.81,6.1,
CF055,10/1/88,9/30/14,1.12,0.63,0.59,0.4,0.08,0.15,-0.22,0.99,0.5,2.22,0.1221,0.234425,0.4612,1.195,2.4665,0.1615,1.12,0.46,197.65,109.22,2.43,20.22,7.66,5.1,5.1,2.84,2.09,1.5,1.59,1.67,1.07,0.63,0.72,0.69,0.8,1.42,1.27,1,1.09,102,100,99,101,110,123,128,156,182,163,118,121,7.71,1.66,3.43,95.69,0.59,0.01,2.26,0.79,1.58,0.12,0.61,0.71,0.66,0.39,0.22,0.21,0.22,0.28,0.27,0.34,0.36,0.39,120.1,0.11,0.06,0.09,0.09,60.72,5.89,0.45,79.95,0,7.75,7.66,8.96,6.11,3.67,5.37,4.32,5.65,15.47,11.05,6.58,6.75,130.2,48.22,22.85,5.36,2.6,18.37,-0.27,0.24,24.48,20.47,16.59,7.45,12.96,20.76,11.7,17.65,51.42,10.35,20.27,23.99,78.85,22.5,25.31,18.5,11.88,20.27,18.12,3.77,0.46,0.06,0.07,0.1,0.21,0.36,84.16,75.07,56.74,80.36,63.89,0.13,0.22,0.46,0.51,0.26,4.49,40.1,0,0,0,28.71,12.44,6.5,3.2,2.05,59.05,55.95,45.92,45.18,54.95,62.25,14.09,6.94,3.13,3.06,93.46,21.2,4.52,1.67,5.05,23.8,75.87,2,238.78,0.64,70.31,0.42,216.43,57.67,0.17,0.01,299.03,76.49,0.25,0.95,359.31,0.57,431.71,0.38,0.2,0.15,164.46,7.5,
CF057,10/1/88,9/30/14,0.93,0.62,0.6,0.44,0.06,0.14,-0.85,0.89,0.46,2.2,0.10535,0.2007,0.43965,0.93645,1.901,0.139625,0.93,0.44,200.2,103.48,2.11,18.07,6.78,4.67,4.09,2.24,1.67,1.19,1.28,1.5,1.07,0.72,0.75,0.64,0.69,1.01,0.79,0.74,0.82,132,108,114,104,124,139,132,164,171,172,144,136,8.37,1.41,2.64,89.76,0.44,0.01,2.21,0.52,1.28,0.05,0.46,0.63,0.64,0.45,0.24,0.22,0.25,0.23,0.21,0.21,0.25,0.34,110.48,0.1,0.05,0.09,0.08,57.72,5.5,0.48,78.86,0,8.05,7.81,9.46,5.88,5.28,5.57,3.91,6.77,9.94,7.55,5.62,5.27,110.26,44.94,21.87,4.33,2.13,16.66,-0.09,0.25,24.7,14.53,13.46,8.38,12.07,19.03,10.9,14.04,48.92,11.04,21.62,23.34,62.65,16.27,20.77,20.46,12.5,21.62,14.15,3,0.58,0.05,0.06,0.07,0.18,0.33,81.49,71.45,73.32,108.55,68.28,0.11,0.16,0.41,0.46,0.24,6.24,37.22,0,0,0,22.2,9.86,5.2,2.57,1.67,50.67,50.03,50.82,49.27,49.46,50.49,11.83,5.85,2.8,2.8,88.81,22.98,3.06,1.24,4.68,41.29,63.87,2,261,0.76,77.53,0.47,279,55.89,0.18,0.01,17.43,78.43,0.28,0.89,320.97,0.52,401.11,0.37,0.13,0.1,165.81,7.74,
CF058,10/1/88,9/30/14,0.66,0.69,0.65,0.44,0.06,0.14,-0.28,0.59,0.6,2.71,0.063015,0.096755,0.1794,0.672325,1.5125,0.0752425,0.66,0.18,231.23,129.04,3.67,24.02,10.52,6.96,8.06,4.54,3.2,0.93,1.01,1.01,0.62,0.34,0.41,0.4,0.43,0.84,0.69,0.56,0.68,136,119,124,113,125,140,141,158,160,159,124,144,14.84,2.25,4.57,116.82,0.95,0.01,2.81,0.87,1.69,0.12,0.3,0.37,0.28,0.17,0.09,0.11,0.14,0.13,0.14,0.17,0.18,0.23,149.65,0.18,0.07,0.17,0.09,55.47,7.04,0.4,54.72,0,6.38,6.75,6.73,3.5,2.38,3.72,2.42,4.12,8.39,6.32,3.69,4.29,150.15,57.52,35.07,8.41,3.74,23.41,0.1,0.22,38.39,42.65,38.6,11.2,18.94,29.74,21.67,17.27,53.24,8.42,16.73,22.59,104.12,49.65,27.85,18.85,12.96,16.73,17.65,3.23,0.73,0.04,0.04,0.05,0.1,0.18,55.51,56.23,45.83,89.57,83.09,0.22,0.28,0.56,0.54,0.35,4.58,41.64,0,0,0,19.47,8.61,4.42,2.17,1.32,68.56,65.33,58.11,59.28,62.2,108.53,24.64,12.1,3.19,4.51,85.98,20.3,6.15,3.51,5.78,32.76,40.52,2.05,197.4,0.75,76.35,0.37,252.91,60,0.18,0.01,83.12,78.43,0.27,0.55,435.66,0.37,475.36,0.4,0.16,0.13,172.46,7.01,
CF059,10/1/88,9/30/14,0.16,0.73,0.67,0.44,0.05,0.14,-0.08,0.15,0.59,2.91,0.01268,0.0174975,0.030105,0.167325,0.38915,0.01445,0.16,0.03,252.59,139.96,5.33,30.7,14.02,9.57,12.55,6.99,5,0.25,0.24,0.23,0.14,0.07,0.09,0.1,0.1,0.22,0.18,0.14,0.18,147,141,146,128,144,151,162,175,167,174,132,166,17.12,2.55,5.15,120.95,1.14,0.01,2.72,0.87,1.63,0.09,0.06,0.07,0.06,0.03,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.06,170.97,0.26,0.08,0.26,0.09,54.81,7.52,0.37,34.81,0,1.78,1.75,1.71,0.84,0.6,0.92,0.66,1.13,2.24,1.7,0.94,1.2,149.36,91.84,58.63,12.97,5.58,43.36,0.09,0.26,58.41,72.43,71.17,17.18,28.01,40.73,38.82,17.54,61.9,9.23,14.58,21.8,119.92,78.23,28.85,19.38,14.19,14.58,18.04,4.04,0.77,0.01,0.01,0.01,0.02,0.04,33.56,33.59,35.1,79.35,119.58,0.33,0.33,0.66,0.58,0.42,4.8,31.62,0,0,0,5.1,2.14,1.11,0.55,0.33,66.12,62.84,53.06,57.65,61.68,169.41,36.87,18.27,3.41,6.07,83.61,11.02,7.14,5.17,6.28,29.86,38.5,2.05,194.2,0.71,71.35,0.35,280.87,59.85,0.18,0.01,12.09,79.39,0.27,0.15,430.74,0.1,487.88,0.4,0.17,0.08,165.19,7.67,
CF060,10/1/88,9/30/14,0.71,0.7,0.65,0.44,0.06,0.14,-0.27,0.63,0.6,2.72,0.066195,0.1021,0.19025,0.72345,1.653,0.0796025,0.71,0.19,233.56,130.51,3.74,25.02,10.84,7.09,8.36,4.69,3.27,1,1.09,1.09,0.67,0.36,0.44,0.43,0.46,0.92,0.75,0.61,0.74,136,119,124,114,126,142,142,159,160,160,124,144,15.23,2.33,4.75,117.99,0.98,0.01,2.84,0.88,1.71,0.13,0.33,0.41,0.3,0.18,0.09,0.12,0.15,0.14,0.15,0.18,0.19,0.25,153.1,0.17,0.07,0.16,0.09,57.04,6.65,0.4,56.78,0,6.86,7.29,7.28,3.78,2.55,4.01,2.61,4.42,9.14,6.9,3.97,4.63,151.4,57.88,36.3,8.71,3.81,22.96,0.09,0.22,39.66,44.31,40.36,11.47,19.25,30.17,22.38,17.85,53.2,9.12,16.54,22.31,105.12,51.58,27.81,18.88,13.08,16.54,18.31,3.35,0.73,0.04,0.05,0.05,0.1,0.19,59,48,48.69,95.15,85.09,0.21,0.26,0.53,0.54,0.35,4.51,39.77,0,0,0,21.14,9.34,4.8,2.36,1.44,69.05,65.71,58.32,59.59,62.4,111.12,25.23,12.4,3.21,4.59,82.53,20.21,6.17,3.53,5.77,32.22,40.48,2.15,197.3,0.75,76.7,0.37,252.91,60,0.18,0.01,83.12,78.43,0.27,0.58,446.67,0.4,480.37,0.41,0.16,0.14,174.54,6.43,
CF061,10/1/88,9/30/14,69.04,0.48,0.48,0.4,0.09,0.11,1.02,69.68,0.26,1.65,14.97,27.8375,47.64,74.9325,121.55,19.48,69.04,47.64,146.19,72.67,1.45,8.12,3.51,2.69,2.24,1.27,0.99,68.24,70.32,80.55,60.53,50.08,48.3,52.17,72.81,110.06,84.27,70.16,61.5,67,68,94,86,93,104,106,105,108,94,82,73,7.4,0.76,1.65,67.26,0.18,0.02,1.03,0.4,0.72,-0.01,38.94,43.06,38.72,21.7,14.16,10.48,17.55,29.16,42.92,45.81,37.63,35.15,75.56,0.12,0.09,0.08,0.13,67.27,8.68,0.56,111.85,0,260.04,262.11,430.83,292.86,258.71,231.71,277.08,374.14,773.61,530.35,347.15,251.65,123.06,20.41,10.68,2.55,1.57,8.19,1.19,0.32,11.18,6.21,8.17,4.26,7.68,13.91,5.17,15.12,41.69,6.08,24.12,22.96,26.35,7,22.35,15.92,5.54,24.12,15.96,3.35,0.46,6.28,7.22,9.4,18.88,32.56,111.89,100.18,77.77,55.13,42.62,0.13,0.2,0.4,0.58,0.31,5.49,47.92,0,0,0,1251.05,666.86,375.51,169.01,110.21,79.2,69.56,63.67,47.09,33.89,26.26,7.88,3.55,2.19,3.22,56.11,10.67,1.63,1.28,3.95,33.12,61,2.11,211.56,0.45,52.85,0.5,163.38,49.53,0.18,0.01,241.15,50.13,0.41,56.15,300.15,24.46,364.54,0.3,0.21,0.1,145.35,6.38,
CF062,10/1/88,9/30/14,168.02,0.53,0.49,0.37,0.08,0.11,-0.53,167.72,0.35,1.63,26.62,53.155,104.8,187.425,327.9,35.205,168.02,104.8,147.87,83.59,1.6,12.34,4.89,3.53,2.88,1.63,1.28,196.56,203.82,237.01,179.62,130.22,135.04,122.62,142.4,205.29,165.61,148.39,152.79,92,81,94,92,103,111,102,119,135,131,110,102,5.88,1.02,2.05,72.4,0.22,0.01,1.72,0.36,0.94,0,90.09,107.67,112.58,80.14,41.7,37.91,42.15,53.89,57.34,58.53,58.86,71.42,93.39,0.07,0.05,0.06,0.09,60.5,4.89,0.52,96.53,0,967.01,880.53,1240.67,874.72,752.03,764.63,540.95,829.56,1496.53,1242.44,844.82,791.33,99.18,22.22,12.1,3.13,1.79,6.13,0.18,0.22,12.88,6.45,7.97,4.71,7.85,14.32,5.83,16.88,49.73,9.62,26.54,24.03,39.62,9.15,24.35,20.73,7.65,26.54,17.19,3.62,0.65,8.55,11.93,16.84,40.97,71.78,96.57,73.43,63.97,78.29,53.94,0.08,0.16,0.39,0.51,0.25,5.38,31.73,0,0,0,2831.88,1312.23,753.86,414.67,273.74,51.51,47.12,44.99,42.26,40.76,27.02,7.19,3.96,2.45,2.63,84.58,12.11,1.84,1.16,3.78,32.39,56.15,2,261.22,0.46,52.04,0.35,205.32,63.6,0.17,0.01,261.14,72.58,0.2,145.35,258.39,73.82,333.27,0.34,0.31,0.13,160.65,5.98,
CF063,10/1/88,9/30/14,188.95,0.51,0.48,0.36,0.08,0.1,-0.38,186.88,0.34,1.56,32.84,64.6375,121,211.425,366.15,43.7025,188.95,121,141.16,80.45,1.56,11.16,4.47,3.27,2.76,1.55,1.21,217.6,226.09,261.06,198.99,144.16,148.02,137.21,165.18,238.86,192.49,169.54,171.45,86,77,91,88,98,107,97,111,125,121,102,97,5.85,0.97,1.97,70.71,0.2,0.01,1.67,0.36,0.93,0.01,103.99,123.27,128.02,91.84,47.62,44.02,50.24,65.6,73.79,75.65,72.26,83.48,89.3,0.08,0.06,0.07,0.1,61.69,5.93,0.54,99.34,0,1013.04,924.88,1326.12,935.74,790.28,791.47,581.35,881.66,1689.08,1358.87,914.32,841.65,101.28,19.9,10.95,3.03,1.75,6.41,0.27,0.22,11.97,5.97,7.45,4.4,7.53,13.86,5.51,17.42,47.36,9.23,26.04,26.06,36.92,8.5,24.62,19.92,7.04,26.04,17.81,3.5,0.62,11.7,15.62,21.3,48.31,82.27,99.38,77.48,67.48,73.04,52.03,0.1,0.18,0.4,0.53,0.27,4.98,39.63,0,0,0,3093.65,1447,835.33,457,304.94,55.89,51.25,47.09,42.8,40.16,25.57,6.9,3.78,2.42,2.58,89.92,10.85,1.76,1.17,3.91,30.88,58.9,2,235.8,0.48,54.18,0.38,185.88,61.09,0.18,0.01,260.75,72.68,0.2,153,262.36,79.21,331.24,0.34,0.29,0.13,163,6.35,
CF064,10/1/88,9/30/14,172.9,0.53,0.49,0.37,0.08,0.11,-0.5,172.33,0.35,1.61,27.67,55.6475,108.5,193.025,336.75,37.0825,172.9,108.5,146,82.81,1.59,12.17,4.79,3.47,2.85,1.61,1.27,201.75,209.35,242.9,184.44,133.5,138.01,125.8,147.22,212.46,171.74,153.42,157.32,90,80,93,91,102,110,101,118,132,128,107,101,5.84,1.01,2.03,72.06,0.22,0.01,1.71,0.35,0.94,0,93.63,111.66,116.54,83.14,42.91,39.17,43.86,56.42,60.92,62.45,62.07,74.43,92.6,0.07,0.05,0.05,0.09,60.43,5.02,0.52,99.27,0,977.12,890.52,1259.65,889.46,762.15,770.89,549.4,839.25,1534.86,1267.44,860.2,803.1,99.51,21.8,11.79,3.1,1.78,6.19,0.18,0.22,12.62,6.3,7.78,4.61,7.74,14.15,5.76,17.08,48.68,9.62,26.35,24.17,39.46,9.04,24.5,20.62,7.54,26.35,17.38,3.5,0.62,9.05,12.59,17.75,42.5,73.99,99.3,74.83,64.96,77.43,53.71,0.08,0.16,0.39,0.51,0.25,5.24,33.06,0,0,0,2888,1339.38,772.16,424.62,281.14,52.17,47.72,45.2,42.36,40.66,26.62,7.12,3.91,2.45,2.58,87.11,12.09,1.83,1.16,3.8,32.09,58.9,2,235.8,0.47,52.64,0.38,201.69,63.22,0.18,0.01,261.14,72.58,0.2,147.72,258.36,74.95,332.55,0.33,0.3,0.13,160.73,6.13,
CF065,10/1/88,9/30/14,119.75,0.56,0.53,0.39,0.07,0.12,-0.62,116.76,0.38,1.81,16.18,32.9975,70.355,130.025,231.8,21.855,119.75,70.35,164.75,88.79,1.7,14.33,5.57,3.94,3.07,1.76,1.38,145.16,148.35,174.16,130.76,93.6,96.12,83.87,95.67,142.11,115.45,104.31,109.8,105,89,103,98,112,120,112,138,151,148,120,113,6.13,1.1,2.17,76.72,0.23,0.01,1.92,0.39,1.01,0.03,63.15,76.49,78.92,56.24,30.64,26.56,29.38,32.63,35.71,36.03,38.7,49.36,97.8,0.07,0.05,0.05,0.08,62.06,4.66,0.5,102.16,0,808.75,725.05,989.46,686.07,589.19,606.72,427.12,681.24,1154.88,961.26,646.24,617.81,101.74,28.2,14.15,3.3,1.85,6.07,0.48,0.23,15.32,8.1,9.29,5.5,8.97,15.49,6.88,16.77,48.19,10.5,25.38,24.46,42.77,10.88,23.15,20.73,9.19,25.38,17.04,3.27,0.65,6.1,7.95,10.57,26.9,48.82,102.2,84.65,73.04,91.39,61.39,0.09,0.15,0.38,0.47,0.23,5.38,34.77,0,0,0,2265.17,1024.96,568.1,306.01,199.35,51.67,47.93,45.54,43.73,42.73,32.2,8.07,4.35,2.47,2.57,89.07,21.77,2,1.16,3.95,33.32,50.88,2,246,0.42,48.21,0.35,231.86,66.74,0.18,0.01,270.06,75.71,0.21,112.03,271.51,57.63,354.07,0.34,0.29,0.13,162.27,6.22,
CF066,10/1/88,9/30/14,146.66,0.54,0.5,0.38,0.08,0.11,-0.59,145.84,0.37,1.69,21.675,44.13,89.855,162.425,286.6,28.98,146.66,89.85,153.38,86.04,1.63,13.24,5.16,3.68,2.95,1.68,1.32,174.06,179.64,209.94,157.91,114.69,118.21,105.93,121.49,176.24,142.72,128.19,133.69,96,84,97,94,105,114,105,125,141,137,113,107,5.96,1.05,2.11,74.28,0.22,0.01,1.8,0.37,0.96,0.01,78.14,93.97,97.92,69.38,36.49,32.3,35.52,45.57,47.45,47.67,49.36,61.41,96.48,0.06,0.04,0.05,0.09,60.25,4.38,0.51,98.35,0,898,813.28,1123.1,789.94,678.33,700.32,490.15,765.28,1326.07,1108.99,748.36,712.5,99.76,24.86,12.66,3.19,1.81,6.06,0.3,0.22,13.67,6.98,8.65,4.97,8.21,14.92,6.2,17.35,48.2,10.08,25.73,23.82,40.69,9.46,23.88,20.65,7.92,25.73,17.65,3.31,0.69,6.7,9.83,13.66,34.51,61.36,98.31,75.37,66.06,83.89,57.3,0.07,0.15,0.38,0.49,0.24,5.31,32.97,0,0,0,2556.7,1169.37,666.97,367.77,241.11,51.07,46.66,44.95,42.65,41.71,28.45,7.42,4.09,2.46,2.73,83.09,14.49,1.95,1.16,3.81,32.04,56.96,2,237.2,0.45,50.55,0.33,214.37,65.54,0.18,0.01,262.98,77.53,0.2,130.52,263.14,65.69,343.1,0.33,0.31,0.13,161.12,6.79,
CF067,10/1/88,9/30/14,168.06,0.53,0.49,0.37,0.08,0.11,-0.53,167.75,0.35,1.63,26.575,53.155,104.8,187.45,328,35.1825,168.06,104.8,147.88,83.61,1.6,12.36,4.9,3.53,2.88,1.63,1.28,196.61,203.87,237.05,179.64,130.22,135.05,122.64,142.44,205.35,165.64,148.42,152.83,92,81,95,92,103,111,102,119,135,131,110,102,5.88,1.02,2.05,72.41,0.22,0.01,1.72,0.36,0.94,0,90.11,107.68,112.58,80.11,41.65,37.88,42.13,53.88,57.33,58.52,58.85,71.42,93.44,0.07,0.05,0.06,0.09,60.59,4.87,0.52,96.86,0,967.17,880.77,1241.02,874.92,752.17,764.74,541.1,829.7,1497.19,1242.82,845.15,791.58,99.18,22.22,12.11,3.13,1.79,6.13,0.18,0.22,12.89,6.45,7.98,4.71,7.85,14.32,5.84,16.88,49.73,9.62,26.54,24.03,39.62,9.15,24.35,20.73,7.65,26.54,17.19,3.62,0.65,8.52,11.91,16.82,40.96,71.78,96.87,73.52,64.04,78.33,53.96,0.08,0.16,0.39,0.51,0.25,5.38,31.73,0,0,0,2832.81,1312.67,754.11,414.78,273.81,51.52,47.12,44.99,42.27,40.76,27.03,7.2,3.96,2.45,2.63,84.58,12.11,1.84,1.16,3.78,32.39,56.15,2,261.22,0.46,52.03,0.35,204.97,63.85,0.17,0.01,261.14,72.58,0.2,145.4,258.37,73.86,333.2,0.34,0.31,0.13,160.65,5.98,
CF068,10/1/88,9/30/14,167.69,0.53,0.49,0.37,0.08,0.11,-0.53,167.39,0.35,1.63,26.705,53.14,104.6,186.825,327.4,35.205,167.69,104.6,147.82,83.56,1.6,12.27,4.89,3.52,2.88,1.63,1.28,196.16,203.39,236.55,179.31,130.06,134.81,122.43,142.07,204.74,165.23,148.06,152.47,92,81,94,92,103,111,101,119,135,131,109,102,5.87,1.02,2.05,72.37,0.22,0.01,1.72,0.36,0.94,0,89.91,107.46,112.41,80.1,41.82,37.96,42.17,53.87,57.25,58.41,58.76,71.31,93.23,0.07,0.05,0.06,0.09,60.15,4.96,0.52,95.21,0,965.85,879.3,1237.76,873.12,750.43,763.72,539.82,828.32,1491.42,1239.22,842.65,789.49,99.12,22.21,12.11,3.13,1.79,6.12,0.19,0.22,12.88,6.43,7.97,4.71,7.84,14.32,5.84,16.85,49.91,9.58,26.5,24.01,39.62,9.15,24.35,20.77,7.65,26.5,17.15,3.58,0.65,8.65,12.01,16.88,40.95,71.69,95.24,72.76,63.6,78.16,53.91,0.08,0.16,0.39,0.51,0.26,5.38,31.58,0,0,0,2824,1308.85,751.83,413.79,273.15,51.43,47.05,44.95,42.23,40.75,27,7.19,3.96,2.45,2.63,84.49,12.09,1.84,1.16,3.78,32.44,56.15,2,261.22,0.46,52.11,0.35,212.59,63.2,0.17,0.01,261.14,72.58,0.2,145.21,258.21,73.46,333.82,0.33,0.31,0.13,160.12,6.07,
